dataset,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule
sonar,0.5090909090909091,1.0,0.5238095238095238,1.0,51,101,22.1980198019802
sonar,0.6,1.0,0.6190476190476191,1.0,50,99,20.767676767676768
sonar,0.55,1.0,0.5714285714285714,1.0,50,99,20.98989898989899
sonar,0.4136363636363636,1.0,0.4285714285714285,1.0,51,101,20.45544554455445
sonar,0.5045454545454545,1.0,0.5238095238095238,1.0,49,97,20.68041237113402
sonar,0.4136363636363636,1.0,0.4285714285714285,1.0,50,99,22.848484848484848
sonar,0.5,1.0,0.5238095238095238,1.0,49,97,24.24742268041237
sonar,0.4861111111111111,1.0,0.5238095238095238,1.0,45,89,20.584269662921347
sonar,0.5202020202020202,1.0,0.55,1.0,49,97,21.711340206185568
