dataset,model_type,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure,variant,M-of-N count (std),BAcc (test) (std),BAcc (train) (std),Acc (test) (std),Acc (train) (std),rules (std),conditions_count (std),plain conditions count (std),complex conditions count (std),avg conditions per rule (std),avg rule quality (std),avg rule precision (std),avg rule coverage (std),training time total (s) (std),training time growing (s) (std),training time pruning (s) (std),pvalue significance fdr (std),pvalue significance fwer (std),rules_per_example (train)  (std),rules_per_example (test)  (std),voting_conflicts (train)  (std),voting_conflicts (test)  (std),negative_voting_conflicts (train)  (std),negative_voting_conflicts (test)  (std),p / P
autos,exact_M-of-N,0.1777826960975017,0.753721340388007,0.9793357381575348,0.7674603174603174,0.9789169604386996,44.888888888888886,86.44444444444444,0.5744506057620495,1.1716720321374434,1.9299431247309604,0.6288262172259332,0.9961822984576614,0.0530640437498265,0.3261363506317138,0.3229689907777777,0.0441269009999999,0.9478568202981764,0.7755497080008411,2.3752219610915266,2.383597883597884,4.444444444444445,4.888888888888889,4.444444444444445,4.111111111111111,C2,C2,C2,no_discretization,3.6742346141747673,0.0899673140973436,0.0068201841004009,0.1058787866398055,0.0073989885170628,3.018461712712472,7.282017424984493,6.790516262487787,5.456901847914967,0.1715800825906891,0.0130204012025253,0.0029006825904987,0.0079681916579287,0.0805061257362527,0.1129407765661085,0.0145160861410788,0.0193906482227783,0.0704012876788311,0.3342435738157266,0.3953410731532269,5.525194818083592,2.204792759220492,5.525194818083592,1.6158932858054431,0.2633385110016158
autos,plain,0.0,0.7556613756613756,0.9532853056732056,0.7621693121693122,0.9626452539496017,52.55555555555556,138.33333333333334,2.476189700585927,0.0,2.6317334719011867,0.6191680696351144,0.99235143375505,0.0542559077100139,0.0952356739999999,0.3316787162222222,0.0186777411111111,0.9344177462416456,0.7319423390492573,2.849689907298603,2.6447089947089943,9.77777777777778,4.777777777777778,8.777777777777779,4.555555555555555,C2,C2,C2,no_discretization,0.0,0.0792777694352672,0.0418306225821008,0.0859408748106214,0.0096013930974762,1.2360330811826106,9.526279441628825,4.790035954399971,6.020797289396148,0.161754423262892,0.0076828760089701,0.0043566277855126,0.0053155236586812,0.0294210235929117,0.1038147841841109,0.0105846897934851,0.019291954272016,0.0556887846874215,0.2671047041041287,0.4359025383359102,6.476453075908482,1.563471919941143,5.97448277631164,1.5898986690282426,0.2525737294174285
balance-scale,at_least_M-of-N,0.5166130469783221,0.935285531837256,0.9612362612362612,0.9698469590942708,0.97925731145708,33.22222222222222,84.55555555555556,1.5227282126475674,0.4896044815399655,2.5372124396792333,0.6438239991816259,0.9486599807303188,0.1647220627106463,0.4986801412370469,0.2440561117777777,0.0166987866666666,0.9930487672423156,0.9860975344846312,5.484785019528355,5.2724298799567615,154.44444444444446,20.33333333333333,132.22222222222223,17.444444444444443,C2,C2,C2,no_discretization,6.244997998398398,0.0598596603206541,0.0069069385830701,0.0217187233316265,0.003770794126242,3.80058475033046,12.531072491122927,5.126185499743233,3.0413812651491097,0.0830165353124553,0.0117849327827999,0.0130335907074644,0.0075158770072516,0.0824161348446911,0.0589918345990629,0.0042195882441303,0.0138020815468608,0.0276041630937217,0.790232696003305,0.9798849583869308,94.23124629218154,9.987492177719089,74.06041077690864,8.171767114754175,0.3792727471804366
balance-scale,complex,0.0,0.9049625980660464,0.9352042852042852,0.9449280309495364,0.9683915250939896,30.666666666666668,83.44444444444444,1.1119729312106463,1.59704674494081,2.724612826981472,0.6313441671509746,0.929556871515743,0.1693541597350428,0.0832354562222222,0.1752559907777778,0.0142861126666666,0.978259738908826,0.978259738908826,5.188855809027361,4.998435455424703,89.77777777777777,12.555555555555555,77.55555555555556,10.22222222222222,C2,C2,C2,no_discretization,0.0,0.0562730492223228,0.0111838080072542,0.0400527477172246,0.0045131874908482,2.449489742783178,5.614960175974338,1.1666666666666667,6.5404722901161945,0.0927326908863504,0.0099781964939867,0.0122548423471405,0.0049706705484126,0.0354884156493288,0.0748477050339709,0.0053367113783634,0.0280781085856015,0.0280781085856015,0.3766689264173316,0.6682275010532894,15.303412836502988,4.824704942043376,4.0034707164881045,3.527668414752787,0.3871031273016151
balance-scale,exact_M-of-N,0.0858897243107769,0.9674694398832328,0.9622361622361624,0.9804289696762816,0.980639853015851,19.77777777777778,50.888888888888886,2.093383458646616,0.3688972431077694,2.570189362294625,0.6751961693835847,0.9191866991527026,0.2060228503831442,0.4402471383412679,0.1838960565555555,0.0110268676666666,1.0,1.0,4.074063422030907,3.9980087614496216,118.33333333333331,15.77777777777778,105.44444444444444,13.666666666666666,C2,C2,C2,no_discretization,0.4409585518440984,0.0505499957224477,0.003893620078961,0.0192558155264571,0.0018769031251669,0.8333333333333333,4.567396535348241,2.0615528128088303,2.7284509239574835,0.1525292832210317,0.0109720218572262,0.012490926742588,0.0065081857785996,0.0804965523951243,0.0290789851114018,0.0020139107398821,0.0,0.0,0.1981693688809746,0.4194667875193415,25.985572920372565,5.494947173944845,27.427682690628057,4.031128874149275,0.4971389493175208
balance-scale,plain,0.0,0.6062306148513046,0.7462415962415963,0.8364624224839278,0.9158426550416588,81.44444444444444,307.8888888888889,3.333119745329728,0.0,3.782823155041045,0.4835297835985456,0.8415140289237693,0.0782430051268135,0.1423000071111111,0.3297741524444444,0.0519793388888888,0.9574781050780578,0.7325841290314352,6.349642196699459,5.9523809523809526,171.44444444444446,21.22222222222222,163.88888888888889,20.444444444444443,C2,C2,C2,no_discretization,0.0,0.0173786196937028,0.0248098402964577,0.024679958862679,0.0084416363466686,5.74697988318889,18.811196429549906,1.7873008824606014,17.98687793303156,0.0561635064608486,0.0065720199623558,0.0151797060964727,0.0053891922024836,0.0814154274566947,0.2497283941291267,0.0140548597165056,0.0119693693993751,0.0227826702330561,0.2553657714038679,0.6582783059793772,49.57345840041602,6.495725089968359,62.17604933663051,6.912147117775907,0.1704905535000679
bupa-liver-disorders,at_least_M-of-N,0.081484666852558,0.7062169312169312,0.987632935342859,0.7133520074696545,0.9878251449250308,91.33333333333331,205.3333333333333,0.6772313807222531,1.5010924680761335,2.2478598019704368,0.5329817765472568,0.9982612347392806,0.0356859251431569,6.439501841862996,1.0534048733333334,0.038146700111111,0.7781639972140336,0.4134292198031847,3.259484378061289,3.485807656395892,7.111111111111111,13.444444444444445,3.4444444444444446,7.0,C2,C2,C2,no_discretization,3.278719262151,0.0974115422647106,0.0068483149562908,0.092646291317582,0.0080347394492893,2.0615528128088303,9.05538513813742,7.114148656804348,7.131697631778223,0.0768630302244799,0.0026417158766347,0.0015159921787741,0.0018716374204479,2.169195706640972,0.2465751471083515,0.0092510101107853,0.0533073825530928,0.0285457862882346,0.1888060920129449,0.2572840567883837,7.623064417352848,3.2058973436118907,4.126472801046649,2.7838821814150108,0.0702937193968032
bupa-liver-disorders,complex,0.0,0.7005291005291006,0.99168297775168,0.7169934640522876,0.9921239152231788,92.77777777777776,199.0,0.6111858900919631,1.499956289097335,2.144239673118486,0.5286593090195828,0.9988240238090706,0.0306606113238883,0.4855241195555555,0.901491547,0.0161324846666666,0.774490371989838,0.3640366058151106,2.846425566734663,2.954435107376284,3.555555555555556,12.333333333333334,0.4444444444444444,7.0,C2,C2,C2,no_discretization,0.0,0.083590400927595,0.0052959154876901,0.0732308196343245,0.0058413309896508,2.386303510546059,8.902246907382429,5.182770601822071,9.306509072209144,0.0556883623576849,0.0026003741980207,0.0009455694931981,0.0024270654470253,0.0451257179474917,0.0762727390815904,0.0028189553034502,0.0459812743460641,0.0405825656847683,0.2601411657505854,0.363753155196921,5.222813205330799,2.345207879911715,0.7264831572567789,2.7838821814150108,0.0603598765821722
bupa-liver-disorders,exact_M-of-N,0.1864265230948737,0.7104497354497354,0.9840782062156108,0.7199813258636789,0.9842512879023614,90.44444444444444,199.0,0.6023586430929445,1.4234138570119703,2.2003156995364086,0.5308701522510665,0.994810181783236,0.0383793771157565,6.443519247902764,0.9793112785555556,0.035345876111111,0.803035767834147,0.4605229083597914,3.4674837787689152,3.5690943043884227,19.88888888888889,14.666666666666666,8.88888888888889,7.666666666666667,C2,C2,C2,no_discretization,4.362084109434134,0.0692520009252379,0.0093668228508105,0.0642771699953985,0.0102533284281147,2.5055493963954847,10.511898020814318,9.260129588726068,6.75359986311827,0.1032512408072575,0.0032830691520036,0.0025976440258203,0.0026974268410875,2.327037641671963,0.1471165553564841,0.0037052353476524,0.0385321778775611,0.034632660109263,0.1973850963462531,0.2238864187099469,15.703856568088971,3.0413812651491097,5.035981643246043,2.0615528128088303,0.074521543854842
bupa-liver-disorders,plain,0.0,0.688095238095238,0.9917574650399078,0.704201680672269,0.9924800331915776,102.55555555555556,340.1111111111111,2.876357755174957,0.0,3.3161780684437803,0.5364110332239966,0.9977738960048488,0.0391735383239278,0.111557818,0.1841158603333333,0.0249908237777777,0.866813413348449,0.5515241658096325,4.015874332999113,4.120074696545284,4.888888888888889,11.22222222222222,2.0,6.333333333333333,C2,C2,C2,no_discretization,0.0,0.062768696792686,0.0034556667750438,0.0547203378389434,0.0039550323432388,3.2829526005987013,12.936812246883353,4.352521619066865,9.096702699330129,0.0594213302013128,0.0021619828349371,0.0008445265039244,0.001805804046843,0.0368175621532786,0.0652824816029937,0.0056901814416306,0.0292191767941814,0.0354390267701081,0.1925027809728944,0.6173665178411072,3.370624736026114,3.961621441334904,2.8284271247461903,3.122498999199199,0.0780004795962163
