Unnamed: 0,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure,variant,model_type,M-of-N count (std),RMSE (test) (std),MAE (test) (std),MAPE (test) (std),rRMSE (test) (std),rMAE (test) (std),rMAPE (test) (std),maxError (test) (std),R2 (test) (std),RMSE (train) (std),MAE (train) (std),MAPE (train) (std),rRMSE (train) (std),rMAE (train) (std),rMAPE (train) (std),maxError (train) (std),R2 (train) (std),rules (std),plain conditions count (std),complex conditions count (std),conditions_count (std),avg conditions per rule (std),avg rule quality (std),avg rule precision (std),avg rule coverage (std),training time total (s) (std),training time growing (s) (std),training time pruning (s) (std),pvalue significance fdr (std),pvalue significance fwer (std),p / P,avg rule support
0,auto-mpg,0.1163888888888888,0.1791117929754603,0.1375693280834794,22417333591354.203,0.4500933540683814,0.3467567275997827,224173335913.54205,0.4864398747609558,0.505228814047822,0.1289307220291896,0.0901415289189726,1998273225777.7488,0.3337369418151584,0.2332072375196999,19982732257.77749,0.6058162772545038,0.6196040652817425,13.77777777777778,0.9461324786324786,3.3154700854700856,67.22222222222223,4.506410256410256,0.6488536100396686,0.8790012085355949,0.2182988445203279,1022.5402336120604,9.463478854333331,23.560199033888885,1.0,1.0,C2,C2,C2,no_discretization,at_least_M-of-N,1.2247448713915892,0.0363040696087475,0.0268223933720593,10277367848378.877,0.0858685915830895,0.0718217310587445,102773678483.78874,0.0978780928480701,0.1866886022464307,0.0075040613789152,0.0088704485491619,418497171965.8474,0.0155216926812281,0.0197413388039455,4184971719.6584735,0.0876833200981493,0.0391797923658816,4.381146476031638,31.792294663959066,5.418589402336287,36.79258681371078,1.4094538162702892,0.0264134830508511,0.0251716960751171,0.04359635115155,2875.8307484900133,17.735436197681313,53.62425646125007,0.0,0.0,201.23495928037727,0.2166175208853797
0,auto-mpg,0.0,0.199014134342263,0.1422926341352306,23990562790826.49,0.4979173998756006,0.3565154444391623,239905627908.2649,0.5622410534892919,0.4060463162324191,0.1483164252401611,0.1007093384924624,2053973754196.5908,0.3838708987232803,0.2606158983384147,20539737541.965908,0.5887652029223711,0.4935627023504103,23.22222222222222,1.323056585993743,4.789028251657408,161.33333333333334,6.4256249633921865,0.6226759206683425,0.9001680362118899,0.1411214517840201,884.6944610577779,876.8329513247777,7.846557156111111,0.9823024594453168,0.9754997383568812,C2,C2,C2,no_discretization,complex,0.0,0.0335940662054975,0.0219554997782063,10421412626197.236,0.05854839982786,0.0381718111941762,104214126261.97237,0.1175022818392512,0.1197021816881037,0.020115322197107,0.0137896696332623,471751776087.5238,0.0498401022899432,0.0338647441259946,4717517760.875238,0.0363485992617052,0.1179656157616884,11.121800413801914,88.55945899664123,23.701265788982663,118.01694793545542,1.4928242638447755,0.0392452038396254,0.0187999035787079,0.0374793259707011,514.8510749567603,510.32824799074615,4.708587224973147,0.0289966290651171,0.0401392151645084,113.1879581436119,0.142013949131152
0,auto-mpg,0.5431875142401458,0.1781229770223437,0.1370604038520025,23498699907395.035,0.4471610364540965,0.3449768853630676,234986999073.95032,0.4780925940738824,0.5075187902567332,0.1284252883423227,0.0897929746066108,1961387579599.7712,0.3324090842128331,0.232320537115176,19613875795.997715,0.5908807688906789,0.6227859877917148,14.333333333333334,0.7225579099263311,2.1345636819321028,52.55555555555556,3.524152975030168,0.6427606778843598,0.8768601045388238,0.2020145713515092,1020.7349269919926,8.001245548,16.759865016777777,0.98180636777128,0.98180636777128,C2,C2,C2,no_discretization,exact_M-of-N,1.8782379449307745,0.0376786967593367,0.0295647465998414,11064659650420.371,0.087811533637695,0.0769698971498393,110646596504.20372,0.0827477422550487,0.2016329585845556,0.0068191215822542,0.0078295409017412,399102850778.53485,0.0126257845597582,0.0167825516015338,3991028507.785349,0.0848346122008215,0.0343569469548871,3.640054944640259,19.653244007033543,3.570714214271425,23.38327987639412,0.7658461021425896,0.0334067521881726,0.0201800355091815,0.0280692879696464,2874.340579668219,14.089192907073626,36.66169317018109,0.0389497879194699,0.0389497879194699,153.86498020465638,0.2029034444988891
0,auto-mpg,0.0,0.1749226266772011,0.1330512374688067,28023988757215.41,0.441598914394328,0.3366467450922326,280239887572.15405,0.4973258303840548,0.5283812900640038,0.1259510490180638,0.092538122501567,2608425098193.24,0.3263945814075588,0.2398683177968636,26084250981.9324,0.5024820852775391,0.6369586057726427,12.666666666666666,2.589862476704582,0.0,37.0,2.787138787138787,0.506375347305765,0.8068663560847934,0.1812851011436235,2.2392448174444444,1.8451666197777776,0.3895246118888888,0.9683048433048432,0.9173789173789172,C2,C2,C2,no_discretization,plain,0.0,0.0217664710669876,0.0207189364710595,15131596741003.217,0.0619032275856348,0.0649588827082634,151315967410.03217,0.1065742484234679,0.1364462846052926,0.0066267114538685,0.004584377668301,1052253966901.6968,0.0213821365435001,0.0162343662136242,10522539669.016966,0.0371951147736321,0.0354728954632621,5.7008771254956905,8.288211172770904,9.875615311350366,21.236760581595306,0.4916058831427947,0.0275854017536939,0.0242126808846214,0.0509450885949143,2.2662644470943243,1.8674573247796384,0.4344919912427185,0.0493018224642649,0.1250182615048454,204.3414407790497,0.1789911742733152
0,auto-price,0.0,0.2448655355805355,0.1675391004692713,23514405448847.67,0.7913486925871166,0.5252718772138919,235144054488.4768,0.6524211091915095,0.2125943841917778,0.1354184402313129,0.0817357753981498,3375643974129.74,0.6326782091880827,0.3817800086188639,33756439741.29739,0.6608547053999876,0.5238729299747997,10.666666666666666,2.373395989974937,0.7341186299081036,35.111111111111114,3.063905133203379,0.5174806739505278,0.816570682719053,0.1991224662277294,4.991321378284031,0.797963289222222,0.3859652688888889,0.7414230019493178,0.6516244314489928,C2,C2,C2,no_discretization,at_least_M-of-N,0.0,0.068408522230145,0.0749233254871238,8876302866722.947,0.0560226558105928,0.0904559436318057,88763028667.22948,0.1008251066241027,0.3868032074018523,0.0176211172812456,0.0126272550089195,1409859067620.0725,0.0843118276070161,0.0593404940888623,14098590676.200722,0.0710216780597107,0.1138972204921587,4.663689526544408,18.1322303586122,3.678012748452319,21.426878239984266,0.769182087835023,0.0268018443220955,0.0203811126750152,0.0775823940177707,6.247631847236482,0.7263656395486046,0.5307012680795489,0.0986802035140571,0.1254402246986634,169.42147117011228,0.1933967275414643
0,auto-price,0.0,0.2525257555848061,0.1688982036923823,27422950803033.51,0.8123252108419928,0.5315569187530329,274229508030.3352,0.6710972319616199,0.1170180276225723,0.1285048974232522,0.0728023367962989,2705186045466.364,0.6003936784888333,0.3400932095799304,27051860454.66364,0.6588382994595724,0.5698177674777948,16.444444444444443,0.8809842788790156,3.861499430394167,82.33333333333333,4.907681071365282,0.5731498105199955,0.8266200561395598,0.1446140975806047,1009.197894868,985.213265510111,23.96856041888889,0.7598655730234678,0.6866631224525962,C2,C2,C2,no_discretization,complex,0.0,0.0833786654600441,0.0751896488402582,9318487661631.602,0.1503890249594096,0.1136183279965943,93184876616.31604,0.198498439369009,0.60171083887175,0.0178512135396668,0.0108934673684575,231080422959.29407,0.0841693138666275,0.0517516518899447,2310804229.59294,0.1128826011582194,0.1106644974984203,4.927248499698161,19.65183056217523,12.589678312014172,31.316928329579195,0.7293404832135568,0.0419408156965296,0.0434105389798163,0.0463918771063729,510.26597242327153,502.00541472826654,8.720084985978835,0.1616083798605376,0.2075396118745086,96.26809466942616,0.1468656507855072
0,auto-price,0.1158588470353176,0.2345543294895461,0.1651195008909496,25841418858838.297,0.7537713753483459,0.5184650969749801,258414188588.38293,0.5955981577893704,0.2427642776080926,0.1310478346988213,0.0804139046387804,3071737588843.929,0.6115395431894733,0.375381005139765,30717375888.43929,0.6360066547334801,0.5555363910458024,11.88888888888889,2.323077706607118,0.5851736498795322,37.22222222222222,2.955360543595838,0.5217839571689156,0.8101826738097899,0.1951396121285055,5.248646921581692,0.9721018247777778,0.5427904138888889,0.6387505740446917,0.5877701818878289,C2,C2,C2,no_discretization,exact_M-of-N,1.5898986690282428,0.0745816687593602,0.0718841514664195,8465813835657.319,0.1357484766994608,0.1147095607726727,84658138356.5732,0.131387611087199,0.480100113648854,0.0132112847830085,0.0079058991811809,499197769708.0097,0.0580124018489234,0.035918130475967,4991977697.080095,0.0400882154044921,0.0906912456626381,3.982601048449507,14.714882866600664,2.990726407487727,17.598137527717086,0.7062825167414044,0.0223155073119181,0.0167879449595009,0.0745388751880228,6.558444885197924,0.890018267099205,0.7785574986713178,0.1272548638299991,0.1318783189642977,132.09804880098756,0.1863895398045439
0,auto-price,0.0,0.2197595079349192,0.1636066478639039,32768790001316.24,0.7039823336278964,0.5158271184931773,327687900013.16235,0.4901698128326577,0.3198224562398911,0.1091158754070655,0.0710251515995464,3042766265059.4395,0.50832181860432,0.3308801358976324,30427662650.594387,0.4660112576516414,0.6919259697176491,13.0,2.6500346320346315,0.0,38.11111111111112,2.8457912457912458,0.5427704522691196,0.8069543372871818,0.144860728497092,1.5269468556666663,1.3241091265555556,0.1975952571111111,0.456026936026936,0.3631313131313132,C2,C2,C2,no_discretization,plain,0.0,0.0806414528659107,0.073323270303319,15100061788370.61,0.1507303422740998,0.1239310630650789,151000617883.7061,0.1335841649115742,0.490207485811069,0.0141989799034303,0.0097062539845802,341298207605.28424,0.056083816999748,0.0394497978273856,3412982076.0528417,0.0781134792495472,0.0714908094617728,5.361902647381804,3.24037034920393,16.726559053725836,20.43553549851609,0.3741517631703494,0.0112079152469717,0.0156572431272974,0.0443529760204199,1.5623942477098436,1.3756021414485156,0.1888558212628387,0.168255883530467,0.1584873109490601,146.36873076134756,0.151704020726748
0,auto93,0.1297727272727272,0.3344874350927765,0.2511195519788074,35817887011461.234,0.8657057368844084,0.6390222895797277,358178870114.6124,0.7372926673512364,-0.1884255733511876,0.1265088978377538,0.0803031694675874,3478097526608.182,0.5550601013947049,0.3519383192430375,34780975266.08182,0.5776367723457834,0.508987625123429,12.0,2.316207664884136,0.7646463585434174,39.77777777777778,3.1229186118892,0.5293739635656536,0.8159933507311506,0.1972080921939178,1.098380857043796,0.4853194564444444,0.1449554595555555,0.6525563760857879,0.5854019890784596,C2,C2,C2,no_discretization,at_least_M-of-N,1.4529663145135578,0.0812805542274529,0.0750130756888181,17002892359145.09,0.1573606639702034,0.0978004386532855,170028923591.4509,0.1124851849702715,0.5548168935616714,0.0153392330441776,0.0110005422778149,1328268789927.3943,0.0837765514575032,0.0552414182107393,13282687899.273945,0.0878335268265371,0.124102437294855,4.387482193696061,15.61872096057947,8.67627672321358,20.99272360710836,0.7180202186699134,0.0618930553928933,0.0333384112370867,0.0560841699930055,1.0332660518186385,0.4112082008257681,0.1217828955528166,0.1551452726585729,0.1849088378752014,460.7292439540457,0.1870110924983355
0,auto93,0.0,0.3483254285946254,0.2603156187847864,32416105188624.53,0.8869145963230359,0.6360967931546531,324161051886.24536,0.7411908479053592,-0.3137384012671614,0.1434136909052853,0.0833385470113666,3784800709710.432,0.6312226373879584,0.3669510528943857,37848007097.10432,0.7175306308290754,0.3590790944210866,12.666666666666666,0.9458377003113846,2.9700282904230275,50.77777777777778,3.86439393939394,0.5952270580438835,0.8359400650339359,0.1596771119057633,313.64137463833333,299.66107970666667,13.960220414,0.8473315021560635,0.7823808258018785,C2,C2,C2,no_discretization,complex,0.0,0.1089323298695373,0.1109708190876151,7552961028809.821,0.2059094324545392,0.1319477709029006,75529610288.0982,0.163517290658736,0.7370554220632265,0.0198959828192036,0.0132642755015863,968376969480.65,0.1160311335384281,0.07260359361824,9683769694.8065,0.1461183821025674,0.2022222842875671,6.324555320336759,10.864058991821508,18.093123310006792,27.48989713411901,0.6981211667416404,0.0429456647801911,0.0253130798890219,0.0489551304081311,146.05779724845195,139.87929442878453,6.4815246709240775,0.1064227795080382,0.1774137429727788,527.3157271654613,0.1572298088784523
