dataset,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,conditions_count,avg conditions per rule
mbagrade,0.3596475732912045,0.3177159144743526,367640785907796.1,0.7422513746648263,0.6557115681704723,3676407859077.9614,0.5714285714285715,-0.0431174760199808,0.1445031622499129,0.091215851419933,0.2578007204469532,0.2710229933869562,0.1710799453192243,0.0025780072044695,0.4297862001943634,0.6242207302774996,30,59,8.94915254237288
mbagrade,0.2888914887402619,0.2295147154572492,413365258983425.5,0.4951829561511781,0.3934064508992849,4133652589834.255,0.5507131537242475,0.1803598893588556,0.1571256782514399,0.0972050136867886,1.4081596095511697,0.3029807013955007,0.1874374930547838,0.0140815960955116,0.4672477548864235,0.6136358184112353,31,61,10.0
mbagrade,0.362055781731706,0.2993245178443037,470492672441524.3,0.6706124973628211,0.5544194363459668,4704926724415.243,0.6268221574344023,-0.400241701420394,0.1355028651207872,0.0779061754571958,0.1849881973508977,0.2461968169607677,0.1415486853510546,0.0018498819735089,0.446938775510204,0.6954373381233461,32,63,9.396825396825395
mbagrade,0.4116728209811496,0.3504974014771329,430008419231440.0,0.7427028838796905,0.6323357229388823,4300084192314.4,0.6829446064139941,-0.4579761107405677,0.1354385991476537,0.0823570986836292,0.233845179444344,0.2436338575813952,0.148148148148148,0.0023384517944434,0.4297862001943634,0.679885689701003,32,63,9.746031746031743
mbagrade,0.3640964710916448,0.3017373199857843,518636108691355.0,0.6828880702113397,0.565929176786691,5186361086913.55,0.6909620991253647,-0.1044286102852833,0.1376096979481335,0.0822413640780987,0.2383371743452177,0.2495320759159455,0.1491309014594447,0.0023833717434521,0.4166180758017492,0.6843349086605537,33,65,9.784615384615384
mbagrade,0.3852441970153471,0.3297260310374148,445873869813771.2,0.7040274677163275,0.6025689276305405,4458738698137.712,0.5940233236151605,-0.0262223842590596,0.1328468826123219,0.083218482198074,0.2266582325981069,0.2407508768684601,0.1508121392604689,0.002266582325981,0.407798833819242,0.6723303156226518,31,61,9.01639344262295
mbagrade,0.4386958082592969,0.4269510734971362,405998787336029.0,0.7467036303072936,0.7267129307865948,4059987873360.29,0.5408990420044214,-0.2344010157808289,0.1258401804644548,0.0799571246734105,0.1882701193261098,0.2286290620487971,0.145267770204479,0.001882701193261,0.3563743551952837,0.6757688509548229,29,57,11.929824561403509
mbagrade,0.3650006963624515,0.3164579361964566,462833489401779.1,0.709810469903139,0.6154102132811496,4628334894017.791,0.6166180758017494,-0.1683940522871545,0.1303304290063384,0.0790308331124657,0.2203723575536968,0.235156955019327,0.1425964006184942,0.0022037235755369,0.4297862001943634,0.7072681368463918,31,61,9.344262295081966
mbagrade,0.4790505617721001,0.4349106968412133,414872414652895.0,0.7652820236025621,0.6947687044428974,4148724146528.95,0.6700743706658344,-0.5423273866022691,0.1308360974586079,0.0764078098771976,0.2117309360671737,0.2314103673876464,0.1351428214263391,0.0021173093606717,0.4268221574344022,0.6931004537928505,31,61,9.344262295081966
