dataset,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule
wine,0.3682539682539682,1.0,0.3888888888888889,1.0,52,103,20.233009708737864
wine,0.5682539682539682,1.0,0.5555555555555556,1.0,52,103,20.48543689320388
wine,0.3952380952380952,1.0,0.3888888888888889,1.0,52,103,20.718446601941743
wine,0.3761904761904762,1.0,0.3888888888888889,1.0,50,99,17.575757575757574
wine,0.5428571428571428,1.0,0.5555555555555556,1.0,50,99,19.232323232323232
wine,0.365079365079365,1.0,0.3888888888888889,1.0,51,101,16.138613861386137
wine,0.2936507936507936,1.0,0.3333333333333333,1.0,50,99,20.0
wine,0.7047619047619048,1.0,0.7222222222222222,1.0,56,111,16.666666666666668
wine,0.5396825396825397,1.0,0.5294117647058824,1.0,50,99,15.797979797979798
