model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,mushroom,6,0.960062290949634,0.9605522896749048,0.960639606396064,0.9611544248392832,10,22.0,2.2,0.8013382436765296,0.9812208885172932,0.3433182875119682,1689926473.9402905,0.861715401,0.12390794,3.4331828751196825,3.4538745387453877,476.0,56.0,306.0,34.0,C2,C2,C2
at_least_M-of-N,no_discretization,mushroom,14,0.957905133549857,0.9566643547568644,0.956949569495695,0.955819997264396,14,39.0,2.7857142857142856,0.8465565577904428,0.9718948895321732,0.4073704984661078,1689926467.548034,2.576673563,0.238106757,5.703186978525509,5.57810578105781,556.0,62.0,29.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,mushroom,6,0.9622746961017186,0.9604478553918128,0.9630541871921182,0.961022975929978,10,25.0,2.5,0.8009207036291901,0.9811144913191197,0.34320295404814,1689926498.9714923,1.278359047,0.126325558,3.4320295404814005,3.460591133004926,488.0,43.0,307.0,32.0,C2,C2,C2
at_least_M-of-N,no_discretization,mushroom,6,0.9640090880925334,0.9602569447175576,0.9642857142857144,0.9608862144420132,10,25.0,2.5,0.8021655914608525,0.9813170256072904,0.3439824945295404,1689926505.2984154,1.260593363,0.122868241,3.439824945295405,3.39039408866995,484.0,47.0,312.0,27.0,C2,C2,C2
at_least_M-of-N,no_discretization,mushroom,7,0.9697392020941392,0.9757457033096376,0.970479704797048,0.9762002462043496,10,35.0,3.5,0.8422742904757975,0.9881610253094208,0.3675557379291478,1689926480.241572,0.980980428,0.089785121,3.675557379291479,3.610086100861009,263.0,31.0,177.0,21.0,C2,C2,C2
at_least_M-of-N,no_discretization,mushroom,7,0.9735544217687075,0.9750378158160006,0.9741379310344828,0.9755196936542668,9,29.0,3.2222222222222223,0.8494657610922581,0.9870633473652164,0.3780999270605398,1689926486.3958397,0.856820337,0.082309883,3.4028993435448576,3.4741379310344827,259.0,29.0,172.0,20.0,C2,C2,C2
at_least_M-of-N,no_discretization,mushroom,7,0.9777437103107276,0.9748549836093188,0.977859778597786,0.9753795650389824,10,35.0,3.5,0.8428787122983218,0.9883936473674486,0.3676651620845301,1689926458.847592,0.946686323,0.085395087,3.6766516208453015,3.6002460024600245,266.0,28.0,181.0,17.0,C2,C2,C2
at_least_M-of-N,no_discretization,mushroom,7,0.9760204081632652,0.974763935817391,0.9766009852216748,0.975246170678337,9,29.0,3.2222222222222223,0.8496850933368816,0.9866935437349146,0.3791636275224896,1689926492.5086377,0.890918672,0.087561873,3.412472647702407,3.3879310344827585,267.0,21.0,178.0,14.0,C2,C2,C2
at_least_M-of-N,no_discretization,mushroom,7,0.9760678204980228,0.9747580281178424,0.9766009852216748,0.975246170678337,9,29.0,3.2222222222222223,0.8507376909199826,0.9875860499905984,0.3782214928276197,1689926511.6802611,0.8478589059999999,0.083687596,3.403993435448577,3.4642857142857144,253.0,35.0,81.0,15.0,C2,C2,C2
