model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,zoo,0,0.8,0.9841269841269842,0.9,0.989010989010989,10,16.0,1.6,0.8966666666666667,1.0,0.1065934065934065,0.075927123,0.244769681,0.021716695,1.065934065934066,0.9,0.0,0.0,0.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,0.75,1.0,0.8,1.0,8,11.0,1.375,0.9236280487804878,0.9875,0.1263736263736263,0.336668162,0.5136318259999999,0.018235916,1.010989010989011,1.5,1.0,2.0,1.0,2.0,C2,C2,C2
complex,no_discretization,zoo,0,1.0,1.0,1.0,1.0,10,15.0,1.5,0.8881559497413155,0.9818181818181818,0.110989010989011,0.218034822,0.407966498,0.025764609,1.10989010989011,1.2,2.0,0.0,2.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,0.8333333333333334,1.0,0.9,1.0,10,16.0,1.6,0.8756559497413156,0.9818181818181818,0.1098901098901099,0.20866875,0.368528558,0.015542562,1.098901098901099,1.0,2.0,0.0,2.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,1.0,1.0,1.0,1.0,10,15.0,1.5,0.8931559497413156,0.9818181818181818,0.1120879120879121,0.213304181,0.387973521,0.02092393,1.120879120879121,1.1,2.0,0.0,2.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,1.0,1.0,1.0,1.0,10,15.0,1.5,0.8931559497413156,0.9818181818181818,0.1120879120879121,0.206748191,0.389285017,0.017645259,1.120879120879121,1.1,2.0,0.0,2.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,1.0,0.979591836734694,1.0,0.9888888888888888,9,13.0,1.4444444444444444,0.9017155683822352,0.9797979797979798,0.1209876543209876,0.386515045,0.551982165,0.040981868,1.0888888888888888,1.0,2.0,0.0,2.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,1.0,0.979591836734694,1.0,0.989010989010989,10,15.0,1.5,0.891568648154014,0.9818181818181818,0.1120879120879121,0.347413619,0.543752171,0.0282308279999999,1.120879120879121,1.0,2.0,0.0,2.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,0.6666666666666666,0.9841269841269842,0.8,0.989010989010989,9,14.0,1.5555555555555556,0.9074074074074072,1.0,0.1147741147741147,0.06501805,0.227174153,0.011437813,1.032967032967033,0.9,0.0,0.0,0.0,0.0,C2,C2,C2
