dataset,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,conditions_count,avg conditions per rule
fruitfly,0.3463281082393958,0.2266985827112409,79390378046596.84,0.974462923731122,0.6378614916286148,793903780465.9684,0.8055555555555556,-0.2174955506922198,0.0434077378118237,0.0168650793650793,0.1031256811341644,0.1456073201807599,0.0565723793677204,0.0010312568113416,0.1736111111111111,0.9507115227423392,97,193,16.40414507772021
fruitfly,0.3280377177800094,0.2430268918073795,44360033853087.695,1.1076598262701618,0.8206102840249181,443600338530.87695,0.8536585365853658,-0.1776723273815543,0.0396425212272074,0.0127395470383275,0.0862599271934881,0.1503828644984195,0.0483271375464684,0.0008625992719348,0.1951219512195122,0.9548532147057432,102,203,16.83743842364532
fruitfly,0.2808693008716035,0.190697544174064,92944832835039.23,1.0636398306920287,0.7221633085896075,929448328350.3925,0.7926829268292683,-0.1011470206272058,0.0428846651097125,0.0152439024390243,0.0939892074887622,0.1551212147962188,0.0551398188263095,0.0009398920748876,0.1951219512195122,0.9487772686251196,101,201,18.09950248756219
fruitfly,0.3813897460049262,0.3124765478424015,21123825644327.617,0.8325111993017978,0.6820850018201675,211238256443.27615,0.7439024390243902,-0.730254132758589,0.0404630554892038,0.0143728222996515,0.082292347800831,0.1485856463865847,0.0527788884446221,0.0008229234780083,0.1951219512195122,0.957530758800629,100,199,18.88442211055276
fruitfly,0.3660530018553042,0.2967479674796748,114068658479366.31,1.1536215816045956,0.9352057156935208,1140686584793.663,0.902439024390244,-1.0791567430435394,0.0405859317377126,0.0140461672473867,0.0715532604992437,0.1435276076546603,0.0496726992683866,0.0007155326049924,0.1951219512195122,0.9568837612444796,102,203,18.96551724137931
fruitfly,0.434204525054505,0.3703703703703703,97299991949363.14,0.7751089042295296,0.6611570247933882,972999919493.6312,0.8271604938271605,-1.5592732680309056,0.0459224132232908,0.0171528460614006,0.1189301024751333,0.1713525675633026,0.0640032613126783,0.0011893010247513,0.1975308641975309,0.9479689466712294,100,199,18.08040201005025
fruitfly,0.2627063144388047,0.2008629296819284,41191460006438.76,0.9507466617785314,0.7269325074203123,411914600064.3876,0.6829268292682926,0.0411611499677387,0.0398153307716439,0.012626807684006,0.077849620654489,0.1434962485142173,0.0455075845974329,0.0007784962065448,0.1951219512195122,0.9575297990514228,102,203,18.31527093596059
fruitfly,0.3739878540002095,0.3273809523809523,164765840025750.78,1.013386443097342,0.8870967741935484,1647658400257.5078,0.7987804878048781,-0.9738019036287928,0.0375177962331567,0.0139218648823656,0.0991005362898398,0.1362225313073785,0.0505485893416927,0.0009910053628983,0.1524390243902439,0.965027820669826,100,199,16.482412060301506
fruitfly,0.2886589639341083,0.1813928516643657,64075604454458.81,0.8538934933120599,0.5365853658536586,640756044544.5881,0.8902439024390244,-0.2196209037952994,0.0445721398560281,0.0160802935462982,0.1056850284938011,0.1654006599543279,0.0596716059271125,0.001056850284938,0.1951219512195122,0.9475939553477832,99,197,17.03553299492386
