model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,auto-mpg,10,0.5478571428571428,0.8650584059915046,0.675,0.9106145251396648,52,159.0,3.0576923076923075,0.6012364317584825,0.967905094825392,0.148850451224753,1.110368013381958,0.296710138,0.015801819,7.740223463687151,8.075,99.0,13.0,60.0,8.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,4,0.6952380952380953,0.921531503837842,0.75,0.9553072625698324,57,152.0,2.6666666666666665,0.593771163113943,0.9904956478262352,0.0953151034009606,1.5510177612304688,0.545452354,0.019278895,5.432960893854749,4.95,41.0,12.0,20.0,9.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,11,0.6935714285714285,0.8319546911096207,0.8,0.9078212290502792,56,166.0,2.9642857142857144,0.6033500820522013,0.9903642633117328,0.1291899441340783,1.7157225608825684,0.48476693,0.014988193,7.23463687150838,6.45,52.0,10.0,21.0,6.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,11,0.7188095238095237,0.9321135144198524,0.825,0.9608938547486032,60,173.0,2.8833333333333333,0.602765295859445,0.987564045683638,0.1159217877094972,2.396914482116699,0.8103846640000001,0.024381799,6.955307262569832,7.425,36.0,10.0,18.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,7,0.6802380952380952,0.932940233996572,0.775,0.9553072625698324,58,166.0,2.862068965517241,0.5966908704170414,0.9921958320647882,0.0964650356386053,2.3577511310577397,0.524995902,0.024248483,5.594972067039106,5.325,30.0,11.0,18.0,6.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,6,0.7188095238095237,0.8707103733512184,0.825,0.9245810055865922,64,168.0,2.625,0.5943212759279068,0.989389049581666,0.1092004189944134,1.1583666801452637,0.451197389,0.021012713,6.988826815642458,7.3,46.0,11.0,18.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,11,0.6785714285714285,0.8595321931589538,0.825,0.9189944134078212,63,182.0,2.888888888888889,0.5924752246009166,0.9877435976522436,0.1092932517513523,2.699756622314453,1.619569226,0.0279381139999999,6.885474860335195,8.175,33.0,6.0,5.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,6,0.7411904761904763,0.9200434085997466,0.825,0.952513966480447,58,165.0,2.8448275862068964,0.5965356167798784,0.992325566415664,0.1008476208822963,1.4989013671875,0.320950628,0.0188725849999999,5.849162011173185,5.85,37.0,12.0,20.0,7.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,16,0.7619047619047619,0.90244708994709,0.8717948717948718,0.935933147632312,62,181.0,2.919354838709677,0.6039655087313041,0.9757262037256572,0.1260670320783538,2.2344038486480717,0.942275305,0.023112056,7.816155988857939,8.743589743589743,74.0,10.0,45.0,5.0,C2,C2,C2
