dataset,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,conditions_count,avg conditions per rule
fishcatch,0.3310293321626134,0.256217247664616,20470907397139.48,0.777884986889776,0.6020842595381166,204709073971.3948,0.5686749340884679,0.1024454409830081,4.034286097783023e-18,5.863854003301883e-19,3.225119701816036e-18,1.701835066635271e-17,2.4736253519384093e-18,3.2251197018160355e-20,2.775557561562892e-17,1.0,131,261,17.11111111111111
fishcatch,0.160596177977447,0.0952822374752057,1194136264834.0452,0.6465750883736485,0.3836151139575797,11941362648.340452,0.4617333411889471,0.6862459182069618,4.034286097783023e-18,5.863854003301883e-19,3.225119701816036e-18,1.6658734120134688e-17,2.421354916151691e-18,3.2251197018160355e-20,2.775557561562892e-17,1.0,132,263,14.638783269961976
fishcatch,0.1633606134513012,0.1308733295689817,2047090739714.257,0.4626056506968323,0.3706079482994103,20470907397.14257,0.3939393939393939,0.6407862774179574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,130,259,17.55212355212355
fishcatch,0.3934847849167892,0.2716618566618566,11941362648331.342,0.9212588956243192,0.6360370505926406,119413626483.31342,0.8411736411736411,-0.3565096048518716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,129,257,17.20622568093385
fishcatch,0.3142205838538631,0.1757832139725226,1535318054786.1052,0.9632290930274592,0.5388555507329572,15353180547.861052,0.8279060703498002,-0.0359388412587056,4.034286097783023e-18,5.863854003301883e-19,3.225119701816036e-18,1.6760643178781518e-17,2.4361674462260294e-18,3.2251197018160355e-20,2.775557561562892e-17,1.0,128,255,17.145098039215686
fishcatch,0.2251260029006197,0.1000050909713763,1583296743998.17,0.7972112613836206,0.3541358336703059,15832967439.9817,0.8125,0.2586989449220617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128,255,17.152941176470588
fishcatch,0.1183865221529152,0.0762236443631792,2729454319618.672,0.3424599213550693,0.220494214876033,27294543196.18672,0.3195665009618498,0.8216825494698258,4.034286097783023e-18,5.863854003301883e-19,3.225119701816036e-18,1.749103889103759e-17,2.542330809891807e-18,3.2251197018160355e-20,2.775557561562892e-17,1.0,132,263,15.346007604562738
fishcatch,0.3604526905196389,0.229375,15353180547854.344,0.850587801539081,0.5412737430167598,153531805478.54343,0.8696969696969696,0.1087283870107713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,132,263,15.133079847908744
fishcatch,0.3255610155787385,0.2155762872167366,1091781727847.8444,0.8700212638297473,0.5761007764477516,10917817278.478443,0.9484848484848484,-0.2169709015750669,4.020155455075066e-18,5.822848031250821e-19,3.202566417187952e-18,1.6297087478952678e-17,2.360492393948236e-18,3.202566417187952e-20,2.775557561562892e-17,1.0,131,261,17.00383141762452
