model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,flag,0,0.5555555555555555,0.9903846153846154,0.7,0.9885057471264368,37,95.0,2.5675675675675675,0.5910406314693114,0.9945810472126264,0.0559179869524697,0.844897488,1.984061492,0.005986332,2.0689655172413794,1.75,6.0,4.0,4.0,2.0,C2,C2,C2
complex,no_discretization,flag,0,0.5416666666666666,0.9951923076923076,0.55,0.9942528735632185,38,95.0,2.5,0.5980719474475404,0.9976608187134502,0.0592861464004839,0.597382115,1.3373822130000002,0.018218081,2.2528735632183907,1.75,4.0,2.0,3.0,1.0,C2,C2,C2
complex,no_discretization,flag,0,0.3749999999999999,0.958460520960521,0.4736842105263157,0.9714285714285714,37,85.99999999999999,2.324324324324324,0.5933688225190978,0.9966905681191396,0.0565250965250965,0.581559878,1.174608567,0.006981587,2.091428571428572,2.1052631578947367,5.0,7.0,3.0,5.0,C2,C2,C2
complex,no_discretization,flag,0,0.5972222222222222,0.9592948717948718,0.7894736842105263,0.9771428571428572,39,92.0,2.358974358974359,0.5851365846244199,0.9972057856673242,0.0514285714285714,0.497074063,1.107178355,0.004421603,2.005714285714286,2.210526315789474,3.0,4.0,2.0,4.0,C2,C2,C2
complex,no_discretization,flag,0,0.3472222222222222,0.9903846153846154,0.55,0.9942528735632185,37,91.0,2.45945945945946,0.5933187156881891,0.9985775248933144,0.0532774153463808,1.309743684,2.386630202,0.006780956,1.971264367816092,1.9,1.0,8.0,1.0,3.0,C2,C2,C2
complex,no_discretization,flag,0,0.8888888888888888,0.98566763425254,0.8947368421052632,0.9885714285714284,38,91.0,2.3947368421052637,0.5830849431552745,0.9964912280701752,0.0509774436090225,0.760129099,1.5503090670000002,0.013783708,1.937142857142857,2.0,4.0,4.0,3.0,1.0,C2,C2,C2
complex,no_discretization,flag,0,0.4666666666666667,0.9689102564102564,0.65,0.9827586206896552,37,91.0,2.45945945945946,0.5888828832499078,0.9952182952182952,0.0531220876048462,1.033977716,2.4053069969999994,0.01754717,1.9655172413793105,2.1,2.0,7.0,2.0,4.0,C2,C2,C2
complex,no_discretization,flag,0,0.5472222222222223,0.9905660377358492,0.6842105263157895,0.9885714285714284,39,94.0,2.41025641025641,0.5888084814059018,0.997940947940948,0.0546520146520146,0.562091748,1.392474151,0.0077634,2.1314285714285712,2.1052631578947367,2.0,3.0,1.0,2.0,C2,C2,C2
complex,no_discretization,flag,0,0.6388888888888888,0.9807692307692308,0.6842105263157895,0.9828571428571428,41,109.0,2.658536585365854,0.5938999295881721,0.9968834688346884,0.0568641114982578,0.98509292,1.655541075,0.007433579,2.3314285714285714,2.736842105263158,2.0,8.0,1.0,4.0,C2,C2,C2
