model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,glass,0,0.5396825396825397,0.946554170467214,0.6818181818181818,0.9583333333333334,48,194.0,4.041666666666667,0.6612672097752373,0.991463071072446,0.0810546874999999,0.10521993,0.308615899,0.022841939,3.890625,4.409090909090909,10.0,8.0,5.0,4.0,C2,C2,C2
plain,no_discretization,glass,0,0.6875,0.9704248366013072,0.7272727272727273,0.9739583333333334,46,173.0,3.760869565217391,0.6560521665640777,0.9900513153426698,0.0785778985507246,0.073561973,0.249823836,0.0193312359999999,3.6145833333333335,4.045454545454546,10.0,6.0,2.0,2.0,C2,C2,C2
plain,no_discretization,glass,0,0.8428571428571429,0.9935897435897436,0.8571428571428571,0.9948186528497408,48,170.0,3.5416666666666665,0.6509156171313016,0.9991319444444444,0.0661701208981002,0.064649192,0.235289852,0.013391496,3.1761658031088085,3.142857142857143,1.0,2.0,1.0,2.0,C2,C2,C2
plain,no_discretization,glass,0,0.6994047619047619,0.9641877049965286,0.6666666666666666,0.9740932642487048,45,160.0,3.555555555555556,0.6501270792823106,0.9933594389149946,0.0666666666666667,0.058633183,0.216273668,0.016669812,3.0,2.4285714285714284,8.0,4.0,5.0,2.0,C2,C2,C2
plain,no_discretization,glass,0,0.5634920634920635,0.9840579710144928,0.7272727272727273,0.984375,45,168.0,3.733333333333333,0.6494151845838326,0.9917534535181592,0.0700231481481481,0.079436297,0.2755185049999999,0.014564523,3.1510416666666665,4.227272727272728,11.0,10.0,11.0,8.0,C2,C2,C2
plain,no_discretization,glass,0,0.6825396825396824,0.960277202668507,0.6666666666666666,0.9585492227979274,48,181.0,3.7708333333333335,0.6556929069446817,0.9930770788755018,0.0771804835924007,0.150544887,0.661406818,0.058073305,3.704663212435233,4.095238095238095,7.0,4.0,4.0,1.0,C2,C2,C2
plain,no_discretization,glass,0,0.7093253968253969,0.9653283535636478,0.7272727272727273,0.9635416666666666,48,164.0,3.4166666666666665,0.6518912391401088,0.9917505920676212,0.0720486111111111,0.066650969,0.2393380479999999,0.01357206,3.458333333333333,2.5454545454545454,9.0,5.0,3.0,4.0,C2,C2,C2
plain,no_discretization,glass,0,0.4047619047619048,0.938034188034188,0.6190476190476191,0.9792746113989638,48,167.0,3.4791666666666665,0.6516383145687388,0.9955747126436784,0.0721070811744387,0.058059958,0.223157383,0.013537184,3.461139896373057,2.4285714285714284,6.0,6.0,1.0,4.0,C2,C2,C2
plain,no_discretization,glass,0,0.3869047619047618,0.9727564102564102,0.6190476190476191,0.9844559585492229,46,150.0,3.260869565217391,0.6471484290421977,0.9971532091097308,0.0624014417661635,0.06328701,0.235845129,0.016319307,2.8704663212435237,3.333333333333333,4.0,6.0,3.0,5.0,C2,C2,C2
