dataset,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,conditions_count,avg conditions per rule
auto93,0.4500631611535534,0.34720614757312,14874273998655.535,1.0204920514528248,0.7872697532181212,148742739986.55536,0.8807339449541285,-0.5938933953794177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82,163,7.975460122699387
auto93,0.3329823615970981,0.2273504188272836,39664730663081.125,0.9962399111197734,0.6802028790930111,396647306630.8113,0.8899082568807339,-0.3808825919664267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81,161,7.341614906832298
auto93,0.329572608456959,0.2300943004187577,32227593663752.543,0.7133283456044288,0.4980170755669946,322275936637.52545,0.7743119266055046,-0.4560274692360528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82,163,8.52760736196319
auto93,0.3929255602011436,0.3216000562409927,55089903698722.53,0.8964473008085533,0.7337204080323347,550899036987.2253,0.653211009174312,-0.1314378167876579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83,165,9.127272727272729
auto93,0.4633074124556771,0.4013888204785802,0.5373750205498004,0.7210155141047034,0.6246555936139497,0.005373750205498,0.7866419294990723,-1.4648779425053546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81,161,8.198757763975156
auto93,0.2657856346037248,0.1857929029947378,16526971109616.943,0.768787112469406,0.5374074848838021,165269711096.16946,0.562403917679147,0.3304768262432586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83,165,9.006060606060606
auto93,0.2144262686551132,0.1595401149972799,54364439946312.11,0.7811242643864837,0.5811818474900912,543644399463.1211,0.4841801953756413,0.4418285893639164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82,163,8.220858895705522
auto93,0.2715078351642195,0.1429976949911108,46826418143916.66,1.2201755279909787,0.6426418150391028,468264181439.16656,0.7908256880733945,0.1106738472369019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82,163,8.024539877300613
auto93,0.3676963480550156,0.250973496432212,26626786787715.96,0.8651678777765073,0.5905258739581459,266267867877.1596,0.7743119266055046,-0.0798770317331885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81,161,9.06832298136646
