model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,wine,0,0.8492063492063492,0.9859587538394032,0.8333333333333334,0.9875,12,22.0,1.8333333333333333,0.8806314104322072,1.0,0.2635416666666667,0.036331355,0.085441006,0.005904569,3.1625,3.0,0.0,1.0,0.0,0.0,C2,C2,C2
plain,no_discretization,wine,0,0.8968253968253969,0.9859587538394032,0.8888888888888888,0.9875,15,27.0,1.8,0.8988961715664767,1.0,0.2691666666666666,0.034514813,0.083127152,0.0060717819999999,4.0375,4.0,0.0,3.0,0.0,2.0,C2,C2,C2
plain,no_discretization,wine,0,1.0,1.0,1.0,1.0,14,28.0,2.0,0.8904425793737856,1.0,0.2683035714285714,0.033566726,0.082604331,0.003967992,3.75625,3.6666666666666665,0.0,1.0,0.0,1.0,C2,C2,C2
plain,no_discretization,wine,0,0.9523809523809524,1.0,0.9444444444444444,1.0,14,27.0,1.9285714285714288,0.891660267661255,1.0,0.2647321428571428,0.03731117,0.090366891,0.004377056,3.70625,3.9444444444444446,0.0,1.0,0.0,1.0,C2,C2,C2
plain,no_discretization,wine,0,0.9523809523809524,1.0,0.9444444444444444,1.0,13,28.0,2.1538461538461537,0.8913477887568774,1.0,0.2735576923076923,0.035396334,0.072525155,0.003601966,3.55625,3.5,0.0,2.0,0.0,1.0,C2,C2,C2
plain,no_discretization,wine,0,0.9523809523809524,0.992248062015504,0.9444444444444444,0.99375,14,28.0,2.0,0.8941399638782673,1.0,0.2696428571428572,0.032354616,0.079573636,0.0041818529999999,3.775,3.2777777777777777,0.0,1.0,0.0,0.0,C2,C2,C2
plain,no_discretization,wine,0,1.0,1.0,1.0,1.0,15,30.0,2.0,0.8858741955536054,1.0,0.26375,0.034139439,0.077630067,0.004033506,3.95625,4.5,0.0,1.0,0.0,1.0,C2,C2,C2
plain,no_discretization,wine,0,1.0,0.992248062015504,1.0,0.99375,15,29.0,1.9333333333333331,0.884666611818049,1.0,0.2633333333333333,0.035091062,0.08360068,0.005601994,3.95,3.7777777777777777,0.0,1.0,0.0,1.0,C2,C2,C2
plain,no_discretization,wine,0,1.0,0.9924242424242424,1.0,0.9937888198757764,14,28.0,2.0,0.8866881202523891,1.0,0.2684117125110913,0.036245975,0.089878658,0.004335844,3.75776397515528,3.7058823529411766,0.0,0.0,0.0,0.0,C2,C2,C2
