dataset,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule
tic-tac-toe,0.8694083694083694,1.0,0.8854166666666666,1.0,78,155,6.877419354838709
tic-tac-toe,0.9307359307359306,1.0,0.9375,1.0,56,111,5.873873873873874
tic-tac-toe,0.9531024531024532,1.0,0.9479166666666666,1.0,66,131,6.564885496183206
tic-tac-toe,0.9083694083694084,1.0,0.9270833333333334,1.0,64,127,6.188976377952756
tic-tac-toe,0.968975468975469,1.0,0.96875,1.0,68,135,6.207407407407407
tic-tac-toe,0.9386724386724388,1.0,0.9479166666666666,1.0,71,141,6.539007092198582
tic-tac-toe,0.9691650853889944,1.0,0.96875,1.0,77,153,6.666666666666667
tic-tac-toe,0.967741935483871,1.0,0.9583333333333334,1.0,66,131,6.564885496183206
tic-tac-toe,0.93841642228739,1.0,0.9473684210526316,1.0,68,135,6.414814814814815
