model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,autos,0,0.725,0.993866399018624,0.7142857142857143,0.9891304347826086,32,62.0,1.9375,0.6774533261307081,0.9931024774774774,0.0730298913043478,0.88954376,2.185648857,0.005999611,2.3369565217391304,1.9047619047619049,4.0,2.0,4.0,1.0,C2,C2,C2
complex,no_discretization,autos,0,0.85,0.983701814058957,0.8571428571428571,0.9836956521739132,32,64.0,2.0,0.6474873247031133,0.9973958333333331,0.0560461956521739,0.936538957,2.8332818530000003,0.003880168,1.7934782608695652,2.095238095238096,1.0,3.0,1.0,3.0,C2,C2,C2
complex,no_discretization,autos,0,0.8047619047619048,0.958332355930878,0.85,0.9621621621621622,31,64.0,2.064516129032258,0.6631266430091997,0.9942652329749104,0.0678291194420226,1.027545595,3.593154822,0.0040905049999999,2.1027027027027025,2.4,5.0,6.0,5.0,4.0,C2,C2,C2
complex,no_discretization,autos,0,0.6666666666666667,0.9824473180076628,0.8,0.9837837837837838,34,71.0,2.088235294117647,0.6540593452846764,0.9882545174932718,0.0656597774244832,1.378611924,4.080268682,0.004378186,2.2324324324324323,2.2,6.0,4.0,5.0,4.0,C2,C2,C2
complex,no_discretization,autos,0,0.7444444444444445,0.9732279693486592,0.8571428571428571,0.9782608695652174,38,85.0,2.236842105263158,0.6545345611407424,0.9924089068825912,0.0675057208237986,1.285971106,3.41822444,0.0044675589999999,2.565217391304348,1.9523809523809523,9.0,2.0,9.0,2.0,C2,C2,C2
complex,no_discretization,autos,0,0.6452380952380952,0.9781599421377748,0.6190476190476191,0.9782608695652174,29,58.99999999999999,2.034482758620689,0.6682917095378508,0.990308767185035,0.0657796101949025,1.288674878,3.691323547,0.0030675869999999,1.9076086956521736,1.761904761904762,4.0,5.0,4.0,5.0,C2,C2,C2
complex,no_discretization,autos,0,0.7333333333333334,0.982301284467056,0.7619047619047619,0.9782608695652174,35,72.0,2.057142857142857,0.6661462881537586,0.9979794399149238,0.0669254658385093,0.847917449,2.792462135,0.005329156,2.342391304347826,2.142857142857143,2.0,4.0,2.0,4.0,C2,C2,C2
complex,no_discretization,autos,0,0.6342857142857142,0.9761973180076629,0.6,0.9783783783783784,34,72.0,2.117647058823529,0.685469655416702,0.9975920192638458,0.0726550079491255,0.955611194,3.598609221,0.003952516,2.4702702702702704,2.0,1.0,3.0,1.0,2.0,C2,C2,C2
complex,no_discretization,autos,0,0.8476190476190475,0.9736973180076628,0.8,0.972972972972973,34,64.0,1.8823529411764703,0.6493353721209496,0.995053075922084,0.0600953895071542,0.958735392,3.2213042849999995,0.003732764,2.0432432432432432,2.0,4.0,5.0,4.0,4.0,C2,C2,C2
