model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,mushroom,0,0.9830214746231034,0.9815196081222964,0.982779827798278,0.9816714539734648,12,30.0,2.5,0.7619439782207734,0.9983026536529258,0.262048055441572,0.443399557,0.5356049079999999,0.038900396,3.1445766652988647,3.1709717097170973,64.0,12.0,10.0,2.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9840333995831112,0.982605413945252,0.984009840098401,0.9827656955272877,14,42.0,3.0,0.7778479354691097,0.997550533522663,0.2798034273208668,0.65877373,0.8273479430000001,0.053642857,3.9172479824921353,3.836408364083641,68.0,7.0,19.0,0.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.981456281779468,0.9818359561545936,0.9815270935960592,0.9819474835886216,12,32.0,2.6666666666666665,0.7617443636574529,0.9982036200953672,0.2620919948942378,0.446166207,0.5438010419999999,0.043278863,3.1451039387308533,3.163793103448276,68.0,7.0,11.0,0.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.985019227147639,0.9814398642612744,0.9852216748768472,0.9815371991247264,12,32.0,2.6666666666666665,0.7621381632910612,0.9982704864870204,0.2623313274981765,0.434794601,0.513886473,0.0398164139999999,3.1479759299781183,3.1379310344827585,68.0,7.0,8.0,3.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9875084832032576,0.9795785630211726,0.98769987699877,0.9796197510600464,12,41.0,3.4166666666666665,0.7830747349550146,0.9973440993842068,0.2838416997218803,0.686629291,0.769796792,0.0510809389999999,3.406100396662563,3.3431734317343174,83.0,4.0,10.0,1.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9800170068027212,0.9800695367532576,0.9802955665024632,0.9801695842450766,12,36.0,3.0,0.7647080765752556,0.9979159767913184,0.2654084609773888,0.525869277,0.617073745,0.043441084,3.184901531728665,3.2216748768472905,75.0,6.0,10.0,1.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9803825924669156,0.9803707468078112,0.980319803198032,0.9804404322254138,13,42.0,3.230769230769231,0.7648908458329088,0.9977953878858378,0.2653009690350683,0.62807258,0.709772912,0.0482069959999999,3.4489125974558883,3.4501845018450186,78.0,9.0,11.0,0.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9701530612244896,0.981165056747696,0.9704433497536946,0.9812636761487964,12,36.0,3.0,0.7653520656220795,0.998015316057859,0.2658187454412837,0.509457195,0.600010648,0.0459297999999999,3.189824945295405,3.1773399014778323,71.0,10.0,10.0,1.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9753357916542638,0.9809313684178984,0.9753694581280788,0.9809901531728664,13,42.0,3.230769230769231,0.7650623386796678,0.9978168310684414,0.2653698872243729,0.759518886,0.931539655,0.051912847,3.449808533916849,3.4421182266009853,75.0,12.0,66.0,10.0,C2,C2,C2
