dataset,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,avg conditions per rule
zinc,0.0395544913245517,0.1738594424748892,170,77,7.064935064935065
zinc,0.0333389811624323,0.1958875936909119,174,73,6.958904109589041
zinc,0.0353041878132696,0.3333268641437452,172,75,6.48
zinc,0.036082985568483,0.183912895433582,172,71,6.873239436619718
zinc,0.0365913151900121,0.193345551469739,180,79,7.670886075949367
zinc,0.0341705396362107,0.2190818099958323,174,83,7.879518072289157
zinc,0.0316438440223621,0.217476982473563,178,85,8.047058823529412
zinc,0.0272611732744411,0.3506408109780776,174,73,6.493150684931507
zinc,0.0377715410655708,0.1829961914130514,176,81,7.308641975308642
