dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure,variant,model_type,M-of-N count (std),BAcc (test) (std),BAcc (train) (std),Acc (test) (std),Acc (train) (std),rules (std),conditions_count (std),avg conditions per rule (std),avg rule quality (std),avg rule precision (std),avg rule coverage (std),training time total (s) (std),training time growing (s) (std),training time pruning (s) (std),rules_per_example (train)  (std),rules_per_example (test)  (std),voting_conflicts (train)  (std),voting_conflicts (test)  (std),negative_voting_conflicts (train)  (std),negative_voting_conflicts (test)  (std)
autos,6.333333333333333,0.7425308641975309,0.9860927099521004,0.7616402116402117,0.9855398877138006,43.888888888888886,85.66666666666667,1.9540088116891283,0.6296393965931364,0.996558970681466,0.0524733642032855,0.4868320888943142,0.2808432218888888,0.027419708111111,2.2957305131218173,2.125132275132275,4.444444444444445,3.2222222222222223,3.6666666666666665,2.555555555555556,C2,C2,C2,no_discretization,exact_M-of-N,1.6583123951777,0.0716786675915443,0.0067193189996235,0.1014872709395685,0.006658341307526,2.571208103423585,6.041522986797286,0.1198521633694016,0.0122629246391171,0.0059059427826167,0.0061135146931667,0.1248706274514045,0.1320172025935362,0.0152530647372638,0.2333153478669164,0.1715860351185953,8.110350040397627,1.092906420717,7.399324293474371,1.2360330811826103
autos,0.0,0.7556613756613756,0.9532853056732056,0.7621693121693122,0.9626452539496017,52.55555555555556,138.33333333333334,2.6317334719011867,0.6191680696351146,0.99235143375505,0.0542559077100139,0.0835773837777777,0.2786591843333333,0.0184495516666666,2.849689907298603,2.644708994708995,9.77777777777778,4.777777777777778,8.777777777777779,4.555555555555555,C2,C2,C2,no_discretization,plain,0.0,0.0792777694352672,0.0418306225821008,0.0859408748106214,0.0096013930974762,1.2360330811826103,9.526279441628825,0.161754423262892,0.0076828760089701,0.0043566277855126,0.0053155236586812,0.0236993520489043,0.0557554351643686,0.0178364060769804,0.2671047041041287,0.4359025383359102,6.476453075908482,1.563471919941143,5.97448277631164,1.5898986690282426
balance-scale,17.22222222222222,0.935285531837256,0.9612362612362612,0.9698469590942708,0.97925731145708,33.44444444444444,84.0,2.502325940276604,0.6434793530477246,0.9481757714752792,0.1659029384894644,1689926533.6913843,0.1434015356666666,0.0096746462222221,5.554179334989434,5.34294817090516,174.66666666666666,21.88888888888889,152.66666666666666,18.88888888888889,C2,C2,C2,no_discretization,at_least_M-of-N,5.540256712864887,0.0598596603206541,0.0069069385830701,0.0217187233316265,0.003770794126242,3.711842908553349,13.038404810405298,0.1238371774547286,0.0117596884873238,0.0135547089254535,0.0057932077728583,4.000061376549178,0.0257886097909491,0.0029014902808082,0.7078204137041512,0.9382111058397832,85.4619798506915,8.417904199449595,69.7137002317335,6.827233049421348
balance-scale,0.0,0.8975551906586391,0.935760035760036,0.9431643625192012,0.968193818490589,29.77777777777778,80.66666666666667,2.7124573758750623,0.6336217300590703,0.9279484553063878,0.1725693533270491,0.0481769653333333,0.1084646226666666,0.0082025218888888,5.138852192014901,4.941884280593959,90.11111111111111,12.444444444444445,77.0,10.22222222222222,C2,C2,C2,no_discretization,complex,0.0,0.0514901852205906,0.0107421467371432,0.0400330145210648,0.0046582199260698,1.7873008824606014,3.8078865529319534,0.1038429909744007,0.0097412329602504,0.0118063648743021,0.0029386978030646,0.0022286114985527,0.0040738843070074,0.0009626545622652,0.3232385592293579,0.5770434540301456,15.136416719656973,4.901813723284247,4.47213595499958,3.6666666666666665
balance-scale,1.7777777777777777,0.9674694398832328,0.9622361622361624,0.9804289696762816,0.9806398530158508,19.77777777777778,50.888888888888886,2.570189362294625,0.6751961693835847,0.9191866991527026,0.2060228503831442,0.5397948688930936,0.1241895093333333,0.006375940111111,4.074063422030907,3.9980087614496216,118.33333333333331,15.77777777777778,105.44444444444444,13.666666666666666,C2,C2,C2,no_discretization,exact_M-of-N,0.4409585518440984,0.0505499957224477,0.003893620078961,0.0192558155264571,0.0018769031251669,0.8333333333333333,4.567396535348241,0.1525292832210317,0.0109720218572262,0.012490926742588,0.0065081857785996,0.0556456499876154,0.040752016562823,0.001219690935584,0.1981693688809746,0.4194667875193415,25.985572920372565,5.494947173944845,27.427682690628057,4.031128874149275
balance-scale,0.0,0.6062306148513046,0.7462415962415963,0.8364624224839279,0.9158426550416588,81.44444444444444,307.8888888888889,3.782823155041045,0.4835297835985456,0.8415140289237693,0.0782430051268135,0.0661054627777777,0.1370237731111111,0.0374740508888888,6.349642196699459,5.9523809523809526,171.44444444444446,21.22222222222222,163.88888888888889,20.444444444444443,C2,C2,C2,no_discretization,plain,0.0,0.0173786196937028,0.0248098402964577,0.024679958862679,0.0084416363466686,5.74697988318889,18.811196429549906,0.0561635064608486,0.0065720199623558,0.0151797060964727,0.0053891922024836,0.0124677661146165,0.0264203909857352,0.0060940582898187,0.2553657714038679,0.6582783059793772,49.57345840041602,6.495725089968359,62.176049336630506,6.912147117775907
bupa-liver-disorders,10.333333333333334,0.6853174603174603,0.9895224839245196,0.7010270774976657,0.9896195645910404,92.0,225.88888888888889,2.454528354549165,0.5345941089606498,0.9973747134624978,0.0380174851541056,1689926466.7561176,1.683669867222222,0.0241202631111111,3.4933029077205,3.4799253034547157,8.88888888888889,11.666666666666666,6.111111111111111,7.222222222222222,C2,C2,C2,no_discretization,at_least_M-of-N,4.123105625617661,0.0998865569685858,0.0055417951986664,0.0946346635367773,0.0059845434956779,2.6457513110645907,16.151195346199955,0.1451709907823048,0.003902004622804,0.0020458447589673,0.0043677605815066,27.194293891695043,0.3041003586286575,0.0040770676310891,0.3741686157847718,0.3551495149389628,9.006170724070865,3.0413812651491097,8.978369067437086,3.419714088113865
bupa-liver-disorders,0.0,0.6722222222222223,0.9916895021856854,0.6815126050420168,0.9921273726791824,58.11111111111112,137.22222222222223,2.3617547330844126,0.5462121957045213,0.9976983894321624,0.0491544716315341,1.221385992777778,2.211208941222222,0.0134143966666666,2.853602092913368,2.902894491129785,6.0,12.22222222222222,1.5555555555555556,5.888888888888889,C2,C2,C2,no_discretization,complex,0.0,0.0879362303731795,0.0032460704587332,0.0806952435772593,0.0032599570515839,2.147349787787521,7.049428660852199,0.0954805352936599,0.003270285793704,0.0026541918361993,0.0036211707065302,0.2590556901176588,0.4475396321026262,0.0017436275305058,0.1928250351207016,0.3773659238028144,11.423659658795865,2.6822461565718467,1.9436506316151003,2.3687784005919825
bupa-liver-disorders,20.77777777777778,0.6985449735449735,0.9761787477436332,0.7136321195144725,0.9767324735792736,90.22222222222224,215.77777777777777,2.391678615585276,0.5303912129463124,0.9911573256179448,0.0427273710992512,4.180485778384739,1.3113297054444444,0.0300108006666666,3.852867959755213,3.734920634920635,30.22222222222222,13.444444444444445,17.88888888888889,7.777777777777778,C2,C2,C2,no_discretization,exact_M-of-N,9.756764035500932,0.0889413553350661,0.0144781852881019,0.0811172272137056,0.0126805123722807,2.5873624493766707,12.12206436397878,0.1183478880848665,0.0036629065654457,0.0036240427284242,0.0047684403152666,1.1551574522186183,0.4394010878959888,0.0065122601342958,0.431186161133615,0.451703558363152,13.34894918877304,3.2058973436118907,10.080233683358294,3.492054473292827
bupa-liver-disorders,0.0,0.688095238095238,0.9917574650399078,0.704201680672269,0.9924800331915776,102.55555555555556,340.1111111111111,3.3161780684437807,0.5364110332239966,0.9977738960048488,0.0391735383239278,0.1084203412222222,0.1809902375555555,0.022840924111111,4.015874332999113,4.120074696545284,4.888888888888889,11.22222222222222,2.0,6.333333333333333,C2,C2,C2,no_discretization,plain,0.0,0.062768696792686,0.0034556667750438,0.0547203378389434,0.0039550323432388,3.2829526005987013,12.936812246883353,0.0594213302013128,0.0021619828349371,0.0008445265039244,0.001805804046843,0.0206463007145669,0.0399399716962901,0.0024115368850213,0.1925027809728944,0.6173665178411073,3.370624736026114,3.961621441334904,2.8284271247461903,3.122498999199199
