dataset,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule
soybean,0.9298245614035088,0.9993581514762516,0.927536231884058,0.998371335504886,67,133,9.293233082706768
soybean,0.8596491228070174,0.9993581514762516,0.8695652173913043,0.998371335504886,71,141,9.886524822695035
soybean,0.8654970760233918,0.9993581514762516,0.8840579710144928,0.998371335504886,62,123,9.252032520325203
soybean,0.9512345679012346,1.0,0.8823529411764706,1.0,65,129,9.023255813953488
soybean,0.9598765432098766,0.9993581514762516,0.9558823529411764,0.9983739837398374,64,127,9.448818897637794
soybean,0.9824561403508772,0.9993581514762516,0.9558823529411764,0.9983739837398374,70,139,9.841726618705035
soybean,0.9883040935672516,0.9993581514762516,0.9705882352941176,0.9983739837398374,69,137,9.08029197080292
soybean,0.93859649122807,0.9993581514762516,0.8970588235294118,0.9983739837398374,69,137,9.255474452554743
soybean,0.9883040935672516,0.9993581514762516,0.9705882352941176,0.9983739837398374,69,137,9.226277372262771
