model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,cylinder-bands,0,0.8050490883590462,0.9884645430084192,0.8148148148148148,0.9897119341563786,133,374.0,2.81203007518797,0.5317076947577286,0.9996800511918094,0.0332157554379776,0.300870508,0.469954131,0.030638829,4.417695473251029,4.722222222222222,2.0,20.0,1.0,10.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.788218793828892,0.9902439024390244,0.8148148148148148,0.9917695473251028,133,374.0,2.81203007518797,0.5292462995001607,1.0,0.0301834833998576,0.285088647,0.444514274,0.03021997,4.01440329218107,4.537037037037037,0.0,11.0,0.0,5.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.79382889200561,0.9902439024390244,0.8148148148148148,0.9917695473251028,138,367.0,2.6594202898550723,0.5311081482011395,0.9998949800462088,0.032429772767937,0.234741937,0.389005988,0.026891791,4.4753086419753085,4.611111111111111,1.0,20.0,0.0,4.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.8050490883590462,0.9902439024390244,0.8148148148148148,0.9917695473251028,136,357.0,2.625,0.5274196863017407,1.0,0.0282467925441781,0.317354949,0.509247367,0.0288010099999999,3.8415637860082303,3.537037037037037,0.0,16.0,0.0,7.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.8429172510518934,0.9902439024390244,0.8518518518518519,0.9917695473251028,136,362.0,2.661764705882353,0.5278254670499394,1.0,0.0290637860082304,0.21679917,0.322932512,0.025463002,3.9526748971193415,4.333333333333333,0.0,15.0,0.0,7.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.6640953716690041,0.9926829268292684,0.6851851851851852,0.9938271604938272,139,367.0,2.6402877697841727,0.5310686335056595,1.0,0.0322556769399295,0.32684966,0.49152942,0.0304382429999999,4.483539094650205,4.277777777777778,0.0,17.0,0.0,8.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.788218793828892,0.9926829268292684,0.8148148148148148,0.9938271604938272,136,357.0,2.625,0.529399574689697,0.9998686974789917,0.030833938513677,0.292696731,0.4519202990000002,0.035834785,4.193415637860082,4.074074074074074,0.0,13.0,0.0,8.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.7889200561009817,0.9926829268292684,0.7962962962962963,0.9938271604938272,136,365.0,2.6838235294117645,0.5290804004962804,1.0,0.030077463083999,0.212413332,0.3374268339999999,0.0274750919999999,4.090534979423868,3.962962962962963,0.0,15.0,0.0,9.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.7471590909090908,0.9878640776699028,0.7592592592592593,0.9897119341563786,134,374.0,2.791044776119403,0.5326074688968472,0.999900497512438,0.0337817087402493,0.3080732,0.493521661,0.0303959089999999,4.526748971193416,4.148148148148148,1.0,15.0,1.0,8.0,C2,C2,C2
