dataset,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,conditions_count,avg conditions per rule
ele-1,0.2681697159768241,0.1797933828122971,3154595130693.1934,0.8254734933080834,0.5534356153644537,31545951306.93193,0.8477489311719,-0.1947210049546268,0.0048801710401337,0.0006207513813789,0.0036541813768522,0.0222838175361273,0.0028344724814333,3.654181376852268e-05,0.055562870309414,0.9989831570757106,437,873,112.62084765177548
ele-1,0.2342637937168488,0.1717632190347751,23009566140771.58,1.1013903455125165,0.8075441285976532,230095661407.7158,0.7445424988388296,-0.8559278556717134,0.005269947891323,0.0006697387670892,0.004287131017753,0.0206482920422786,0.0026241173423484,4.287131017753037e-05,0.065335191206069,0.9991008794705972,437,873,107.24856815578464
ele-1,0.1868758365032977,0.1206935347772793,12250739736863.97,0.8548331765173127,0.5520929813574043,122507397368.63972,0.6758962387521315,0.0333194151364727,0.003710524640031,0.0004657114748762,0.0035236094233974,0.0170669196367721,0.0021420853077988,3.523609423397477e-05,0.0421329822251481,0.9994016467991592,437,873,113.14547537227948
ele-1,0.2266551008569945,0.1637267182243612,1565438185157.941,0.7809210581688802,0.5641066164531484,15654381851.579409,0.8130348913759052,-0.2500882245711819,0.0022894993405631,0.0002532712976455,0.0026162554898246,0.0105203522836065,0.0011637929862438,2.6162554898246643e-05,0.0307439104674127,0.9997764547776196,439,877,110.59521094640822
ele-1,0.1880274050186256,0.1334503305887175,8740363200456.316,0.6620165840384743,0.4698588058820279,87403632004.56317,0.5088871336727021,0.4032452706543017,0.0052975565569959,0.0007589262598841,0.0050661777362109,0.0243183746039704,0.0034838425764951,5.066177736210934e-05,0.055562870309414,0.9987952884965432,435,869,112.126582278481
ele-1,0.2979297743956829,0.2249942920859536,9180105387657.266,0.789549958596872,0.5962621035823915,91801053876.57266,0.8192373664071777,-0.6080643127402459,0.0052720727946217,0.0007206601673138,0.0045138322647393,0.0246997427728318,0.0033763040558614,4.51383226473933e-05,0.055680168887716,0.9988105761559912,437,873,110.24284077892324
ele-1,0.1876841673134522,0.1290420229157184,17801171694222.637,0.7317487299408139,0.5031129568850018,178011716942.22638,0.7898617511520738,-0.0496744493776231,0.0048314207289794,0.0005753726342265,0.0032362609626807,0.0221449868540157,0.0026372407074137,3.236260962680782e-05,0.055562870309414,0.9990013224556208,439,877,110.27366020524516
ele-1,0.2173103838443867,0.1414571409710673,847098585041.7443,0.8566823978356135,0.5576532541806313,8470985850.417442,0.808953258722844,0.0118230022893299,0.0051994912621096,0.0006913918467719,0.0045225910267664,0.0241310814999513,0.0032087818137974,4.522591026766407e-05,0.055562870309414,0.9987672336153838,439,877,103.2018244013683
ele-1,0.2690984306497618,0.1934797779963684,4780056301303.467,0.8188633295757836,0.5887566673396721,47800563013.03467,0.928768926925609,-0.4780924290829578,0.0052609663871544,0.0007191419892128,0.0044418215063622,0.0244774942804139,0.0033459240436783,4.441821506362282e-05,0.055562870309414,0.9987941157362648,437,873,104.97594501718211
